,id,lang,bot,created_at,statuses_count
0,2353593986,en,True,2019-02-22 18:00:42,76
1,2358850842,en,False,2019-02-26 03:02:32,54
2,137959629,en,True,2015-04-30 07:09:56,3
3,466124818,it,True,2017-01-18 02:49:18,50
4,2571493866,en,False,2019-06-18 19:30:21,7085
5,2199062688,en,False,2018-11-19 06:58:18,7406
6,1174869769,en,True,2018-02-15 10:51:28,21
7,3118659848,en,False,2020-03-31 21:19:59,115
8,616225564,en,False,2017-06-25 15:49:36,2041
9,2357425536,en,True,2019-02-25 04:30:56,69
10,616824681,en,False,2017-06-26 04:03:20,33
11,2361797126,en,True,2019-02-27 23:30:31,47
12,2381053058,en,True,2019-03-11 21:29:53,41
13,2352803594,en,True,2019-02-22 06:10:24,53
14,2383942940,en,True,2019-03-13 16:21:29,41
15,466310732,it,True,2017-01-18 08:20:20,62
16,616219193,en,True,2017-06-25 15:47:54,72
17,617828146,en,True,2017-06-27 06:01:28,27
18,2744811814,en,False,2019-08-18 21:48:35,3287
19,163142123,fr,True,2015-07-07 17:12:40,3
20,1370348599,en,False,2018-04-23 19:05:48,2041
21,2349866700,en,False,2019-02-20 09:53:17,1157
22,253477677,en,False,2016-02-19 09:50:22,14052
23,2357398248,en,True,2019-02-25 04:07:22,57
24,1127165334,en,False,2018-01-30 06:21:38,27
25,1273186980,en,True,2018-03-18 20:11:01,1179
26,1127478085,en,True,2018-01-30 08:58:18,23
27,1671101821,en,False,2018-08-16 17:49:18,6705
28,621554804,en,True,2017-07-01 04:13:30,31
29,707697690,en,False,2017-07-22 19:51:25,43
30,1261040287,en,False,2018-03-14 03:46:22,17447
31,109514123,en,False,2015-01-31 09:04:55,26709
32,2353165838,en,False,2019-02-22 12:27:51,68
33,149245813,en,False,2015-05-30 20:11:00,5025
34,2357929946,en,False,2019-02-25 12:30:19,60
35,466300701,it,True,2017-01-18 08:01:21,41
36,1174366548,en,True,2018-02-15 08:24:25,22
37,2360251819,en,True,2019-02-27 00:47:09,65
38,616399998,en,True,2017-06-25 17:52:48,54
39,617446883,en,True,2017-06-26 20:32:18,37
40,2214453095,en,False,2018-12-10 19:19:12,1382
41,2352031490,en,True,2019-02-21 17:42:51,83
42,2366093053,en,False,2019-03-02 20:48:49,66
43,2360229577,en,True,2019-02-27 00:26:58,49
44,2359047776,en,True,2019-02-26 06:08:29,62
45,172164229,en,True,2015-07-31 01:50:18,4
46,1127846953,en,True,2018-01-30 11:52:52,25
47,162018954,en,False,2015-07-04 11:46:33,13551
48,2376429912,en,True,2019-03-09 02:38:23,34
49,346754293,ru,True,2016-08-02 19:51:41,56
50,2362453604,en,False,2019-02-28 10:04:07,44
51,2384265157,en,False,2019-03-13 22:09:56,46
52,303899090,en,False,2016-05-24 16:08:55,1362
53,2352998418,en,True,2019-02-22 09:46:22,72
54,141711158,es,False,2015-05-10 20:34:50,6
55,1175030514,en,True,2018-02-15 11:39:44,22
56,2374422386,en,False,2019-03-07 22:25:33,45
57,2385162884,en,True,2019-03-14 12:13:01,47
58,243282862,en,True,2016-01-28 18:20:58,11735
59,307710043,en,False,2016-05-31 04:35:46,69900
60,1366923541,en,True,2018-04-22 12:24:27,1
61,2380781340,en,True,2019-03-11 17:34:08,33
62,2383079875,en,True,2019-03-13 03:20:02,43
63,150993495,en,False,2015-06-04 10:11:54,26501
64,2384455266,en,False,2019-03-14 01:24:04,45
65,2353742197,en,True,2019-02-22 20:12:28,70
66,617369459,en,False,2017-06-26 18:50:48,2041
67,250549433,en,False,2016-02-13 09:32:28,50832
68,2382321048,en,False,2019-03-12 15:46:33,40
69,1175881286,en,True,2018-02-15 16:15:54,20
70,2356175006,en,True,2019-02-24 10:52:02,80
71,617238800,en,True,2017-06-26 15:59:13,29
72,466415308,it,True,2017-01-18 11:26:47,103
73,620156433,en,True,2017-06-29 15:09:25,24
74,531177445,en,True,2017-03-22 12:15:46,12395
75,112200531,fr,False,2015-02-09 16:06:47,10
76,2357688510,en,True,2019-02-25 08:36:36,43
77,2362195375,en,False,2019-02-28 05:35:38,2041
78,289311242,en,False,2016-04-29 12:25:17,24525
79,538864438,it,True,2017-03-30 08:50:24,216
80,1130335195,en,True,2018-01-31 07:26:20,28
81,97859473,tr,False,2014-12-21 08:52:16,1
82,1127064944,en,True,2018-01-30 05:12:37,24
83,1176031873,en,True,2018-02-15 16:45:26,22
84,2355208813,en,False,2019-02-23 18:49:25,77
85,2385236594,en,True,2019-03-14 13:12:49,44
86,395021188,es,False,2016-10-22 00:37:48,3
87,2384215375,en,True,2019-03-13 21:12:28,36
88,2377665366,en,False,2019-03-09 21:23:35,37
89,2363837882,en,False,2019-03-01 08:11:51,61
90,43015189,en,False,2014-05-30 01:23:18,11352
91,112131340,en,True,2015-02-09 10:28:01,7
92,2356590110,en,False,2019-02-24 16:28:17,64
93,466393676,it,True,2017-01-18 10:51:05,272
94,2360101717,en,True,2019-02-26 22:17:23,61
95,2738679910,en,False,2019-08-12 02:40:12,15101
96,467116841,it,True,2017-01-19 04:08:16,61
97,51381838,en,False,2014-06-29 07:57:03,231
98,2354852881,en,False,2019-02-23 14:04:17,68
99,2814084987,en,False,2019-10-09 14:05:54,960
100,236809977,en,False,2016-01-13 12:29:16,525
101,2376837104,en,True,2019-03-09 09:10:58,41
102,468111672,it,True,2017-01-20 05:41:42,29
103,2513067457,en,False,2019-05-23 16:39:43,8381
104,57591732,en,False,2014-07-19 08:37:40,49717
105,2356210058,en,False,2019-02-24 11:24:33,73
106,1174865594,en,True,2018-02-15 10:51:46,21
107,148896431,es,True,2015-05-29 22:15:05,38
108,1175962808,en,True,2018-02-15 16:32:31,26
109,3007481400,en,False,2020-02-04 04:30:18,776
110,2351047069,en,False,2019-02-21 03:14:40,2041
111,193181766,en,False,2015-09-23 05:06:33,40607
112,42173055,en,False,2014-05-26 05:58:29,6904
113,296791685,en,False,2016-05-12 12:14:21,15003
114,840460058,en,False,2017-09-24 21:17:39,21
115,701708133,en,False,2018-10-07 04:28:07,283
116,220116356,en,True,2015-11-28 20:47:29,12569
117,2354453778,en,True,2019-02-23 08:14:27,77
118,1175933244,en,True,2018-02-15 16:29:25,22
119,481928900,en,False,2017-02-04 10:15:30,56
120,1175724680,en,True,2018-02-15 15:44:59,26
121,1127015257,en,True,2018-01-30 04:38:35,22
122,2362399584,en,False,2019-02-28 09:10:55,53
123,1209104268,en,True,2018-02-24 16:17:41,3
124,1174494985,en,False,2018-02-15 08:58:00,28772
125,1208441712,en,True,2018-02-24 13:26:02,3
126,616229068,en,True,2017-06-25 15:53:34,64
127,2352009985,en,True,2019-02-21 17:20:04,74
128,1374225350,en,False,2018-04-25 09:13:34,2041
129,291362552,es,False,2016-05-02 21:48:58,1
130,2361709970,en,True,2019-02-27 22:02:22,36
131,55288629,en,False,2014-07-11 16:47:40,218
132,23396217,en,False,2014-03-11 03:24:37,14544
133,616231067,en,False,2017-06-25 16:01:33,2041
134,1175972964,en,True,2018-02-15 16:37:33,21
