user_id,lang,bot,created_at,statuses_count,tweet_count,avg_text_len,entropy_minute,entropy_day,post_in_2012,post_in_2013,post_in_2014,post_in_2015,post_in_2016,post_in_2017,post_in_2018,post_in_2019,post_in_2020,years_outside_of_plausible_range,creation_year,reply_count_avg,favorite_count_avg,num_hashtags_avg,num_urls_avg,num_mentions_avg,retweet_count_sum,favorite_count_sum
2353593986,en,1,2019-02-22 18:00:42,76,127,62.37878787878788,2.535773165614536,1.227162175602405,0,0,0,0,0,0,0,132,0,0,2019,0.0,0.0378787878787878,0.0984848484848484,0.0,0.2727272727272727,5,5
2358850842,en,0,2019-02-26 03:02:32,54,119,68.76229508196721,2.302317468347992,1.281955397001218,0,0,0,0,0,0,0,122,0,0,2019,0.0,0.0491803278688524,0.0245901639344262,0.0,0.3360655737704918,3,6
137959629,en,1,2015-04-30 07:09:56,3,4,19.25,4.0,1.2650806533651315,0,0,0,0,4,0,0,0,0,0,2015,0.0,0.0,0.0,0.0,0.0,0,0
466124818,it,1,2017-01-18 02:49:18,50,1394,86.76302988186241,7.495216419561313,0.3472177701136612,0,0,0,0,0,1,0,1438,0,0,2017,0.0,0.1667824878387769,0.0736622654621264,0.0222376650451702,0.0062543432939541,1190,240
2571493866,en,0,2019-06-18 19:30:21,7085,3535,72.2144420131291,5.999865073701739,0.0,0,0,0,0,0,0,0,0,3656,0,2019,0.0,0.0560722100656455,0.1178884026258205,0.0008205689277899,0.5054704595185996,62,205
2199062688,en,0,2018-11-19 06:58:18,7406,1989,45.100913022585296,5.677880731737543,0.2654048369290893,0,0,0,0,0,0,0,334,1747,0,2018,0.0,0.7357039884670832,0.024026910139356,0.0225852955309947,0.9283998077847188,819284,1531
1174869769,en,1,2018-02-15 10:51:28,21,24,64.04166666666667,4.175735869100492,2.7509141328758404,0,0,0,0,0,0,24,0,0,0,2018,0.0,94.66666666666669,0.4583333333333333,0.125,0.125,15124,2272
3118659848,en,0,2020-03-31 21:19:59,115,130,62.4,5.602282081880325,0.7195494149649639,0,0,0,0,0,0,0,0,135,0,2020,0.0,0.925925925925926,0.1111111111111111,0.0888888888888888,0.8074074074074075,417191,125
616225564,en,0,2017-06-25 15:49:36,2041,58,66.88333333333334,5.153498133960925,3.087110557271485,0,0,0,0,0,44,16,0,0,0,2017,0.0166666666666666,0.05,0.2333333333333333,0.0333333333333333,0.0166666666666666,4191,3
2357425536,en,1,2019-02-25 04:30:56,69,144,64.28666666666666,2.239529405970973,1.1801642104399024,0,0,0,0,0,0,0,150,0,0,2019,0.0,0.0333333333333333,0.1,0.0,0.34,6,5
